primaryTitle,genres,directors,writers,averageRating,gross
10 Cloverfield Lane,"['Drama', 'Horror', 'Mystery']",['nm0870469'],"['nm1061091', 'nm1173295', 'nm3227090']",7.2,108286422
10 Things I Hate About You,"['Comedy', 'Drama', 'Romance']",['nm0432627'],"['nm0527581', 'nm0809006', 'nm0000636']",7.3,60414025
101 Dalmatians,"['Adventure', 'Comedy', 'Crime']",['nm0378893'],"['nm0807977', 'nm0000455']",5.7,304200000
102 Dalmatians,"['Adventure', 'Comedy', 'Family']",['nm0510674'],"['nm0807977', 'nm0118649', 'nm0716391', 'nm0879318', 'nm0925276']",4.9,66941559
12 Years a Slave,"['Biography', 'Drama', 'History']",['nm2588606'],"['nm0725983', 'nm1185849']",8.1,181025343
127 Hours,"['Adventure', 'Biography', 'Drama']",['nm0000965'],"['nm0000965', 'nm0064479', 'nm1737008']",7.6,60217171
1408,"['Drama', 'Horror']",['nm0405632'],"['nm0338557', 'nm0018735', 'nm0438989', 'nm0000175']",6.8,131263370
15 Minutes,"['Action', 'Crime', 'Drama']",['nm0381273'],['nm0381273'],6.1,56331864
16 Blocks,"['Action', 'Crime', 'Drama']",['nm0001149'],['nm0921013'],6.6,65595141
17 Again,"['Comedy', 'Drama', 'Fantasy']",['nm0824882'],['nm0276821'],6.4,139474906
2 Fast 2 Furious,"['Action', 'Crime', 'Thriller']",['nm0005436'],"['nm0860155', 'nm0104973', 'nm0351929']",5.9,236410607
2 Guns,"['Action', 'Comedy', 'Crime']",['nm0466349'],"['nm1398578', 'nm1556427']",6.7,132493015
2012,"['Action', 'Adventure', 'Sci-Fi']",['nm0000386'],"['nm0000386', 'nm0460057']",5.8,788408539
21,['Horror'],['nm7641690'],['nm7641690'],7.5,159846429
21,"['Crime', 'Drama', 'History']",['nm0525659'],"['nm0826042', 'nm1615610', 'nm0583826']",6.8,159846429
21,"['Comedy', 'Drama', 'Romance']",['nm0291209'],"['nm0291209', 'nm0006641']",7.2,159846429
21 Grams,"['Crime', 'Drama', 'Thriller']",['nm0327944'],['nm0037247'],7.7,59667625
21 Jump Street,"['Action', 'Comedy', 'Crime']","['nm0520488', 'nm0588087']","['nm0045209', 'nm1706767', 'nm0367895', 'nm0004798']",7.2,202812429
22 Jump Street,"['Action', 'Comedy', 'Crime']","['nm0520488', 'nm0588087']","['nm0045209', 'nm3349927', 'nm0745247', 'nm1706767', 'nm0367895', 'nm0004798']",7.0,331333876
27 Dresses,"['Comedy', 'Romance']",['nm0281945'],['nm0112459'],6.1,160247805
