1;Ghost;517,600,000
2;Home Alone;476,684,675
3;Pretty Woman;432,645,872
4;Dances with Wolves;424,200,000
5;Total Recall;261,400,000
6;Back to the Future Part III;244,088,654
7;Die Hard 2;239,814,025
8;Presumed Innocent;221,300,000
9;Kindergarten Cop;202,000,000
10;Teenage Mutant Ninja Turtles;202,000,000
11;The Hunt for Red October;200,500,000
12;Dick Tracy;162,738,726
13;Days of Thunder;157,670,733
14;Another 48 Hrs.;152,747,413
15;Bird on a Wire;138,697,012
16;Rocky V;119,946,358
17;Problem Child;72,270,895
18;3 Men and a Little Lady;71,609,321
19;The Godfather: Part III;66,520,529
20;Flatliners;61,308,153
21;Misery;61,158,960
22;Predator 2;54,768,418
23;Edward Scissorhands;53,976,987
24;Arachnophobia;53,208,180
25;Awakenings;51,636,504
26;The Rescuers Down Under;47,431,461
27;Hard To Kill;47,381,527
28;Goodfellas;46,777,347
29;Look Who's Talking Too;46,614,448
30;RoboCop 2;45,681,173
31;Young Guns II;44,143,410
32;Marked for Death;43,224,499
33;Gremlins 2: The New Batch;41,476,097
34;Joe Versus the Volcano;39,381,963
35;Postcards from the Edge;37,963,281
36;Mermaids;35,140,500
37;Child's Play 2;34,166,572
38;Darkman;32,942,739
39;Air America;32,914,515
40;Green Card;29,804,169
41;Pacific Heights;29,381,956
42;Internal Affairs;27,789,904
43;Memphis Belle;27,385,582
44;Cadillac Man;27,257,086
45;House Party;26,385,627
46;Jacob’s Ladder;25,965,144
47;Ernest Goes to Jail;25,029,569
48;The Exorcist III;25,011,739
49;Navy SEALs;24,824,126
50;My Blue Heaven;23,591,472
51;Henry & June;23,411,903
52;Ghost Dad;23,007,150
53;The Russia House;22,998,000
54;Hamlet;22,493,727
55;The Rookie;21,633,874
56;Quigley Down Under;21,413,105
57;The First Power;21,365,321
58;The Freshman;21,289,527
59;Madhouse;20,438,179
60;The Adventures of Ford Fairlane;20,423,389
61;Stella;20,062,347
62;Taking Care of Business;20,005,435
63;Betsy's Wedding;19,740,070
64;Jetsons: The Movie;19,543,985
65;DuckTales: The Movie - Treasure of the Lost Lamp;18,075,331
